#Object 1 Info:
#Object: Sun 1
#   Mass: 0.500000 Solar masses
#   Position: (2.600000, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 1.377427, 0.000000) AU/year

#Object 2 Info:
#Object: Sun 2
#   Mass: 0.500000 Solar masses
#   Position: (-2.600000, 0.000000, 0.000000) AU
#   Velocity: (0.000000, -1.377427, 0.000000) AU/year

# Integration Parameters: 
#    Time Step: 0.010000 years
#    Total Time: 11.200000 years
#    Integrator: Verlet

Time,Sun 1_x,Sun 1_y,Sun 1_z,Sun 2_x,Sun 2_y,Sun 2_z
3.51,-0.741618,2.4907,0,0.741618,-2.4907,0
3.52,-0.754814,2.48673,0,0.754814,-2.48673,0
3.53,-0.767989,2.48268,0,0.767989,-2.48268,0
3.54,-0.781142,2.47857,0,0.781142,-2.47857,0
3.55,-0.794273,2.47439,0,0.794273,-2.47439,0
3.56,-0.807382,2.47014,0,0.807382,-2.47014,0
3.57,-0.820468,2.46582,0,0.820468,-2.46582,0
3.58,-0.833531,2.46143,0,0.833531,-2.46143,0
3.59,-0.84657,2.45697,0,0.84657,-2.45697,0
3.6,-0.859586,2.45244,0,0.859586,-2.45244,0
3.61,-0.872578,2.44784,0,0.872578,-2.44784,0
3.62,-0.885545,2.44318,0,0.885545,-2.44318,0
3.63,-0.898487,2.43844,0,0.898487,-2.43844,0
3.64,-0.911404,2.43364,0,0.911404,-2.43364,0
3.65,-0.924295,2.42877,0,0.924295,-2.42877,0
3.66,-0.93716,2.42383,0,0.93716,-2.42383,0
3.67,-0.949999,2.41882,0,0.949999,-2.41882,0
3.68,-0.962811,2.41374,0,0.962811,-2.41374,0
3.69,-0.975596,2.4086,0,0.975596,-2.4086,0
3.7,-0.988354,2.40339,0,0.988354,-2.40339,0
3.71,-1.00108,2.39811,0,1.00108,-2.39811,0
3.72,-1.01379,2.39276,0,1.01379,-2.39276,0
3.73,-1.02646,2.38735,0,1.02646,-2.38735,0
3.74,-1.0391,2.38186,0,1.0391,-2.38186,0
3.75,-1.05172,2.37632,0,1.05172,-2.37632,0
3.76,-1.0643,2.3707,0,1.0643,-2.3707,0
3.77,-1.07686,2.36502,0,1.07686,-2.36502,0
3.78,-1.08939,2.35927,0,1.08939,-2.35927,0
3.79,-1.10188,2.35345,0,1.10188,-2.35345,0
3.8,-1.11434,2.34757,0,1.11434,-2.34757,0
3.81,-1.12678,2.34163,0,1.12678,-2.34163,0
3.82,-1.13918,2.33561,0,1.13918,-2.33561,0
3.83,-1.15155,2.32954,0,1.15155,-2.32954,0
3.84,-1.16388,2.32339,0,1.16388,-2.32339,0
3.85,-1.17619,2.31718,0,1.17619,-2.31718,0
3.86,-1.18846,2.31091,0,1.18846,-2.31091,0
3.87,-1.20069,2.30457,0,1.20069,-2.30457,0
3.88,-1.2129,2.29816,0,1.2129,-2.29816,0
3.89,-1.22507,2.2917,0,1.22507,-2.2917,0
3.9,-1.2372,2.28516,0,1.2372,-2.28516,0
3.91,-1.2493,2.27856,0,1.2493,-2.27856,0
3.92,-1.26136,2.2719,0,1.26136,-2.2719,0
