#Object 1 Info:
#Object: Sun
#   Mass: 1.000000 Solar masses
#   Position: (0.004959, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 0.002627, 0.000000) AU/year

#Object 2 Info:
#Object: Jupiter
#   Mass: 0.000955 Solar masses
#   Position: (-5.195041, 0.000000, 0.000000) AU
#   Velocity: (0.000000, -2.752226, 0.000000) AU/year

# Integration Parameters: 
#    Time Step: 0.010000 years
#    Total Time: 11.200000 years
#    Integrator: Verlet

Time,Sun_x,Sun_y,Sun_z,Jupiter_x,Jupiter_y,Jupiter_z
3.17,-0.000545686,0.00492168,0,0.571645,-5.15582,0
3.18,-0.000571825,0.00491868,0,0.599028,-5.15267,0
3.19,-0.000597948,0.00491554,0,0.626394,-5.14938,0
3.2,-0.000624054,0.00491226,0,0.653742,-5.14594,0
3.21,-0.000650143,0.00490884,0,0.681071,-5.14236,0
3.22,-0.000676213,0.00490528,0,0.708382,-5.13863,0
3.23,-0.000702264,0.00490158,0,0.735672,-5.13476,0
3.24,-0.000728295,0.00489775,0,0.762942,-5.13075,0
3.25,-0.000754306,0.00489377,0,0.79019,-5.12658,0
3.26,-0.000780295,0.00488966,0,0.817416,-5.12228,0
3.27,-0.000806263,0.00488541,0,0.844619,-5.11782,0
3.28,-0.000832207,0.00488103,0,0.871797,-5.11323,0
3.29,-0.000858128,0.0048765,0,0.898952,-5.10849,0
3.3,-0.000884025,0.00487184,0,0.92608,-5.1036,0
3.31,-0.000909897,0.00486704,0,0.953183,-5.09857,0
3.32,-0.000935743,0.0048621,0,0.980259,-5.0934,0
3.33,-0.000961563,0.00485702,0,1.00731,-5.08808,0
3.34,-0.000987356,0.00485181,0,1.03433,-5.08262,0
3.35,-0.00101312,0.00484646,0,1.06132,-5.07702,0
3.36,-0.00103886,0.00484098,0,1.08828,-5.07127,0
3.37,-0.00106456,0.00483535,0,1.11521,-5.06538,0
3.38,-0.00109024,0.00482959,0,1.14211,-5.05935,0
3.39,-0.00111589,0.0048237,0,1.16897,-5.05317,0
3.4,-0.0011415,0.00481767,0,1.1958,-5.04685,0
3.41,-0.00116708,0.0048115,0,1.2226,-5.04039,0
3.42,-0.00119263,0.00480519,0,1.24937,-5.03379,0
3.43,-0.00121815,0.00479875,0,1.2761,-5.02704,0
3.44,-0.00124363,0.00479218,0,1.30279,-5.02015,0
3.45,-0.00126908,0.00478547,0,1.32945,-5.01312,0
3.46,-0.00129449,0.00477862,0,1.35607,-5.00595,0
3.47,-0.00131986,0.00477164,0,1.38265,-4.99864,0
3.48,-0.0013452,0.00476453,0,1.40919,-4.99119,0
3.49,-0.00137049,0.00475728,0,1.43569,-4.98359,0
3.5,-0.00139575,0.00474989,0,1.46215,-4.97586,0
3.51,-0.00142097,0.00474237,0,1.48857,-4.96798,0
3.52,-0.00144615,0.00473472,0,1.51495,-4.95996,0
3.53,-0.00147129,0.00472693,0,1.54129,-4.95181,0
3.54,-0.00149639,0.00471901,0,1.56758,-4.94351,0
3.55,-0.00152145,0.00471096,0,1.59383,-4.93507,0
3.56,-0.00154646,0.00470278,0,1.62003,-4.9265,0
3.57,-0.00157143,0.00469446,0,1.64618,-4.91778,0
3.58,-0.00159635,0.004686,0,1.67229,-4.90893,0
3.59,-0.00162123,0.00467742,0,1.69836,-4.89994,0
3.6,-0.00164606,0.0046687,0,1.72437,-4.89081,0
3.61,-0.00167085,0.00465986,0,1.75034,-4.88154,0
3.62,-0.00169559,0.00465088,0,1.77625,-4.87213,0
3.63,-0.00172028,0.00464176,0,1.80212,-4.86258,0
3.64,-0.00174493,0.00463252,0,1.82794,-4.8529,0
3.65,-0.00176952,0.00462315,0,1.8537,-4.84308,0
3.66,-0.00179406,0.00461365,0,1.87941,-4.83313,0
3.67,-0.00181856,0.00460401,0,1.90507,-4.82303,0
3.68,-0.001843,0.00459425,0,1.93067,-4.81281,0
3.69,-0.00186739,0.00458435,0,1.95622,-4.80244,0
3.7,-0.00189173,0.00457433,0,1.98172,-4.79194,0
3.71,-0.00191601,0.00456418,0,2.00716,-4.7813,0
3.72,-0.00194024,0.00455389,0,2.03254,-4.77053,0
3.73,-0.00196441,0.00454348,0,2.05787,-4.75963,0
3.74,-0.00198853,0.00453294,0,2.08313,-4.74859,0
3.75,-0.0020126,0.00452228,0,2.10834,-4.73741,0
3.76,-0.0020366,0.00451148,0,2.13349,-4.7261,0
3.77,-0.00206055,0.00450056,0,2.15857,-4.71466,0
3.78,-0.00208444,0.00448951,0,2.1836,-4.70309,0
3.79,-0.00210827,0.00447833,0,2.20857,-4.69138,0
3.8,-0.00213204,0.00446703,0,2.23347,-4.67954,0
3.81,-0.00215575,0.0044556,0,2.25831,-4.66756,0
3.82,-0.0021794,0.00444405,0,2.28308,-4.65546,0
